gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
女,19～22歲,mg,三至四小時,半至一小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,commuting,cnswey,cnswey,cnsewy,cnswey,cneswy,censwy
女,19～22歲,mg,五小時以上,一至二小時,一至二小時,三小時以上,半小時以下,半小時以下,半至一小時,最先看,中,最後看,wakingup,cnswey,cnswey,cnsewy,cnswey,cneswy,censwy
男,19～22歲,ee,三至四小時,一至二小時,二至三小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csewyn,csewny,cesnwy,csewny,csenwy,censwy
女,19～22歲,cs,三至四小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最後看,最先看,中,resting,ceswny,ceswny,cesnwy,ceswny,censwy,censwy
女,19～22歲,cs,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,中,最先看,最後看,wakingup,csenyw,csenwy,cesnwy,csenwy,csenwy,censwy
男,19～22歲,cs,五小時以上,,,,,,,最先看,中,最後看,commuting,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
男,19～22歲,bi,一至二小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,nscewy,nscewy,ncsewy,nscewy,nscewy,nceswy
男,19～22歲,mg,二至三小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,wsceny,wsceny,wcseny,swceny,swceny,wcensy
女,29歲以上,sc,三至四小時,半至一小時,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,最先看,中,最後看,commuting,nwcsye,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
男,22～28歲,mg,二至三小時,一至二小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
女,19～22歲,mg,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,wncsey,wncsey,wcnesy,nwcsey,nwcesy,wcensy
男,22～28歲,oe,五小時以上,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
男,22～28歲,sc,三至四小時,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,scenwy,scenwy,scenwy,csenwy,csenwy,scenwy
女,19～22歲,lb,二至三小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
男,22～28歲,cs,五小時以上,半至一小時,半至一小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cnsywe,cnsyew,cnsewy,cnsyew,cneswy,censwy
男,19～22歲,cs,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
男,29歲以上,mg,一小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,nwcsye,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
男,29歲以上,oe,五小時以上,二至三小時,二至三小時,一至二小時,一至二小時,半小時以下,半小時以下,中,最先看,最後看,wakingup,csnwey,csnwey,cnsewy,csnwey,csenwy,censwy
女,19～22歲,cs,三至四小時,半至一小時,半小時以下,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csnwey,csnwey,cnsewy,csnwey,csenwy,censwy
男,19～22歲,sc,二至三小時,半至一小時,半小時以下,一至二小時,半至一小時,半小時以下,半小時以下,最後看,中,最先看,wakingup,nwcsye,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
女,29歲以上,cs,五小時以上,一至二小時,二至三小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
