gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
女,19～22歲,cs,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cswney,csnwey,csweny,csnwey,csenwy,censwy
男,19～22歲,cs,五小時以上,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csenyw,csenwy,cesnwy,csenwy,csenwy,censwy
男,19～22歲,mg,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,scnwye,scnwey,scnewy,csnwey,csenwy,scenwy
男,19～22歲,mg,二至三小時,半小時以下,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,最後看,中,wakingup,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
女,19～22歲,cs,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nwcsey,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
男,16～18歲,ee,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,lb,五小時以上,三小時以上,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,nwecsy,nwcesy,newcsy,nwcesy,nwcesy,nceswy
女,19～22歲,lb,五小時以上,三小時以上,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nwcsey,nwcsey,ncwesy,nwcsey,nwcesy,nceswy
男,16～18歲,mg,三至四小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最後看,中,最先看,commuting,ywnsec,ywnsce,ynwces,wynsce,wycens,ycensw
女,19～22歲,mg,五小時以上,半至一小時,一至二小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cnsewy,cneswy,cnsewy,cneswy,cneswy,censwy
